"","Price","Bathrooms","Sqft_living","ActualBedrooms","PredictedBedrooms4"
"1",342000,2,1930,3,3
"2",490000,1,880,2,3
"3",452500,2.5,2430,3,4
"4",257950,1.75,1370,3,3
"5",382500,1.75,1560,4,3
"6",625000,2.5,2820,4,4
"7",750000,2.5,2390,3,4
"8",308500,1,850,2,3
"9",315000,1,1160,3,3
"10",630000,2.75,2710,4,4
"11",430000,1.5,1920,4,3
"12",785000,3.25,3660,5,4
"13",295000,2.5,1630,2,3
"14",459990,2.5,2680,3,4
"15",553000,1,900,2,3
"16",628000,2,2280,4,3
"17",560000,2.5,1900,3,3
"18",9e+05,1,1330,3,3
"19",780000,2.5,2730,4,4
"20",4e+05,1.75,2110,2,3
"21",620000,1.75,1480,3,3
"22",405000,3,1410,2,3
"23",770000,2,2350,3,3
"24",524000,1.75,1560,3,3
"25",541125,2.75,2740,5,4
"26",384900,2.5,3090,5,4
"27",328000,2.5,2370,4,4
"28",499000,2.5,2910,4,4
"29",340000,1,1120,5,3
"30",6e+05,1.75,1670,3,3
"31",379950,1.75,1970,4,3
"32",287000,1,1450,3,3
"33",555000,2.5,1940,3,3
"34",415000,2.25,1620,3,3
"35",478000,2.5,3040,3,4
"36",419190,2.5,1590,2,3
"37",397000,2,1440,4,3
"38",450000,2,1100,2,3
"39",234000,1.75,1490,3,3
"40",488000,2,2020,5,3
"41",606000,2.5,2110,4,3
"42",650000,1.5,1630,3,3
"43",425000,2,1520,4,3
"44",284000,2.5,2000,4,3
"45",520000,2.5,2460,3,4
"46",345000,2.5,2331,4,4
"47",612500,2,2060,4,3
"48",404000,1.75,1840,4,3
"49",313950,1,1510,3,3
"50",1225000,2.25,3490,4,4
"51",599000,2.25,2260,4,3
"52",387000,1,1230,3,3
"53",483500,2.5,2740,4,4
"54",385000,1.75,1900,3,3
"55",485000,2,1420,3,3
"56",295000,2.25,1980,3,3
"57",390000,3.75,2890,5,4
"58",255000,2.25,2060,5,3
"59",510000,2.5,2430,4,4
"60",249000,1,1110,3,3
"61",630000,2.5,2680,3,4
"62",460000,2,1760,3,3
"63",526000,2,1550,2,3
"64",515000,1.75,1580,3,3
"65",230000,2.5,1920,3,3
"66",568000,2,2350,3,3
"67",5e+05,1,1010,2,3
"68",352000,2.5,2420,5,4
"69",492000,2.5,3305,4,4
"70",1110000,1.5,2310,4,3
"71",379500,1,1640,2,3
"72",339950,2.25,1630,3,3
"73",1340000,3,2960,3,4
"74",314950,1,1040,3,3
"75",540000,5.75,3700,7,5
"76",530000,1,1340,3,3
"77",775000,2,2540,3,4
"78",209950,1.5,1380,3,3
"79",375000,2.5,1830,3,3
"80",425000,2.5,1150,2,3
"81",537500,2.5,2550,4,4
"82",402000,2.5,1960,3,3
"83",270000,2.5,1810,4,3
"84",719000,2.5,1690,3,3
"85",246000,1.75,1390,3,3
"86",780000,1.75,2480,4,3
"87",335000,1.5,2240,3,3
"88",385000,1.75,1890,3,3
"89",1750000,3,3510,6,4
"90",868500,2.5,2920,3,4
"91",229000,2.5,1190,3,3
"92",1307000,3.25,2800,5,4
"93",297950,2,1240,3,3
"94",245000,1.5,1260,3,3
"95",330000,2,1550,2,3
"96",230000,1,1390,3,3
"97",349000,1.75,1590,3,3
"98",5e+05,1.75,1410,3,3
"99",321950,1.25,860,2,3
"100",985000,2.25,4230,4,4
"101",765000,2.75,2790,4,4
"102",224500,1,1430,4,3
"103",445000,2,1650,4,3
"104",195000,1,720,2,3
"105",275000,1.5,1390,3,3
"106",387000,2.25,1445,3,3
"107",505000,2.5,2100,3,3
"108",323000,2.75,1970,4,4
"109",201500,1,1160,3,3
"110",532000,3,3480,5,4
"111",260000,2.5,1420,3,3
"112",590000,2.25,2430,4,4
"113",511555,2,1400,3,3
"114",360000,1,1420,2,3
"115",234950,1,1360,3,3
"116",252500,1,1030,3,3
"117",465000,2.5,1930,4,3
"118",270000,2,1690,3,3
"119",1702500,4.5,5190,5,5
"120",320000,2.25,2310,4,4
"121",769900,3.5,2730,4,4
"122",557000,2.5,2840,4,4
"123",8e+05,3.25,3540,4,4
"124",320000,2.5,2130,3,4
"125",875000,2,2520,4,3
"126",490000,2.5,1230,2,3
"127",341000,1.5,1720,3,3
"128",9e+05,3.25,4700,4,5
"129",360000,2,1730,4,3
"130",647000,2.5,3040,4,4
"131",950000,3,4530,5,5
"132",210000,2.5,1040,3,3
"133",330000,3,2100,5,4
"134",788000,3.25,3680,4,4
"135",910000,2,2700,3,4
"136",840000,2.75,2600,4,4
"137",746000,2.5,2620,3,4
"138",615000,1.75,2040,2,3
"139",1264000,3.75,3490,4,4
"140",1033888,3.25,3270,4,4
"141",383000,2.5,2160,4,4
"142",245000,1.75,2020,5,3
"143",415000,1.75,1960,3,3
"144",225000,1.5,1250,3,3
"145",799200,3,2890,6,4
"146",591000,1.75,1680,3,3
"147",7e+05,2.5,2030,3,3
"148",575000,1.75,1580,3,3
"149",771000,2.25,1780,3,3
"150",591000,2.25,2710,4,4
"151",2555000,2.5,5300,4,5
"152",717000,1.5,1310,3,3
"153",385000,2,1480,3,3
"154",860000,2.5,3560,4,4
"155",370000,1.75,1650,3,3
"156",1105000,1.5,2740,4,3
"157",450000,2.75,1250,3,3
"158",450000,2.25,2450,3,4
"159",405000,1.75,2180,4,3
"160",287600,2.5,1950,3,3
"161",225000,1,1660,3,3
"162",319000,1,1390,3,3
"163",322500,2,1350,3,3
"164",525000,2.5,1580,3,3
"165",870000,2.5,3520,4,4
"166",650000,2.5,2210,4,4
"167",330000,2.5,1450,3,3
"168",740000,5,5774,5,6
"169",510000,1.75,2170,3,3
"170",530000,2.75,2450,4,4
"171",582500,1.5,1159,2,3
"172",372977,2.5,1690,3,3
"173",538000,1.75,1400,3,3
"174",565000,2.5,2240,4,4
"175",325000,2.5,2220,3,4
"176",160000,1,860,3,3
"177",562000,1.5,1830,3,3
"178",299000,1.75,1250,2,3
"179",499000,2,2090,3,3
"180",4e+05,1,980,2,3
"181",707000,3.25,3200,4,4
"182",215000,1,1240,2,3
"183",370000,2.5,2710,4,4
"184",245000,1.75,1490,3,3
"185",302000,1.75,2020,4,3
"186",349950,1,1400,3,3
"187",197500,1,980,3,3
"188",550000,2.25,1980,3,3
"189",1255000,2.5,3200,4,4
"190",575000,1,1490,2,3
"191",695000,3,3150,4,4
"192",689900,3.25,2740,4,4
"193",475000,3.5,2870,7,4
"194",2100000,1.75,3550,4,4
"195",263000,2.25,1590,3,3
"196",312500,1,880,2,3
"197",580050,2.5,2360,3,4
"198",295000,1.5,850,3,3
"199",423000,1.75,1880,4,3
"200",343000,1.75,2290,4,3
"201",512500,2.5,1840,3,3
"202",575000,2.5,3020,4,4
"203",465000,1.75,1410,3,3
"204",765000,3.75,3580,5,4
"205",344000,2.5,1232,3,3
"206",386380,2.5,1720,3,3
"207",914500,2.5,3950,4,4
"208",408200,2.5,1800,3,3
"209",720000,1,2020,2,3
"210",385000,1.75,1180,3,3
"211",605000,1,910,2,3
"212",875000,2,2220,3,3
"213",306500,2.25,2060,3,3
"214",620000,2.25,1720,3,3
"215",238000,2,1020,3,3
"216",249000,2.25,1440,3,3
"217",377500,2.25,1410,3,3
"218",379950,3.25,1860,3,4
"219",410000,2,1700,3,3
"220",352500,2.25,1410,3,3
"221",215000,2.25,1610,2,3
"222",290000,2.5,1700,4,3
"223",320000,2.5,2680,3,4
"224",462000,1.5,1710,3,3
